experience_level,years_experience,salary_usd,experience_level_encoded
EX,13,219728,1
EX,10,230237,1
EX,12,128890,1
MI,2,96349,2
EN,0,63065,0
SE,7,111794,3
SE,9,113897,3
SE,9,168639,3
MI,4,92624,2
EX,10,215627,1
MI,3,129706,2
EN,1,76559,0
EX,14,185834,1
MI,3,89801,2
EX,19,252601,1
EN,0,20520,0
SE,5,192789,3
SE,7,107184,3
SE,6,141909,3
SE,7,118238,3
SE,7,155210,3
SE,5,96699,3
SE,8,161477,3
EX,18,316709,1
MI,3,62089,2
EN,0,77985,0
EN,0,55315,0
EX,16,246647,1
EN,1,29050,0
MI,4,120599,2
EX,13,277727,1
EX,16,158734,1
SE,9,139438,3
SE,5,131432,3
MI,4,140290,2
MI,2,90858,2
SE,6,126597,3
EN,0,53274,0
EX,17,155357,1
MI,4,116292,2
SE,6,140363,3
SE,9,162306,3
EX,16,134224,1
MI,3,77500,2
SE,7,154083,3
MI,4,79445,2
SE,8,157466,3
MI,4,38972,2
MI,3,66090,2
MI,2,47943,2
EX,17,217318,1
MI,3,84705,2
SE,7,36076,3
EX,15,160216,1
EN,0,60826,0
EX,16,237320,1
EN,1,60243,0
EN,1,74091,0
EN,1,68535,0
MI,3,99401,2
EN,0,67632,0
SE,6,133163,3
MI,4,125752,2
EN,1,70927,0
EN,1,80810,0
EN,1,59614,0
EX,16,151907,1
EX,14,76317,1
SE,9,160534,3
MI,3,40687,2
SE,5,129265,3
EX,18,94396,1
EX,11,158237,1
EX,18,239068,1
MI,2,81401,2
MI,2,144229,2
MI,4,78936,2
SE,6,101054,3
SE,9,91807,3
EN,1,49858,0
EN,1,80596,0
MI,4,76026,2
MI,4,84841,2
SE,8,158900,3
EX,13,153858,1
MI,3,115314,2
EX,13,181068,1
EN,1,119021,0
EX,15,219746,1
EX,10,115774,1
EN,1,130984,0
EX,18,191223,1
SE,9,155502,3
MI,4,86140,2
MI,4,96028,2
SE,7,134920,3
SE,5,107694,3
MI,4,114301,2
MI,4,92728,2
EN,1,76826,0
SE,7,48870,3
MI,4,89527,2
EN,0,81103,0
EX,13,283428,1
MI,3,104906,2
EX,18,231496,1
SE,8,147402,3
EN,1,69331,0
EX,12,215842,1
SE,6,79833,3
EX,15,304859,1
SE,8,112217,3
EN,0,45738,0
EX,18,195309,1
SE,9,141439,3
MI,2,125836,2
EN,0,58213,0
MI,2,82191,2
EX,13,207975,1
SE,7,115664,3
SE,9,109337,3
SE,7,115386,3
EN,1,64431,0
SE,9,108088,3
EX,16,228314,1
SE,9,153260,3
MI,4,63667,2
MI,3,31185,2
SE,9,132167,3
EX,11,223349,1
EN,1,26957,0
MI,2,93564,2
SE,6,113846,3
EX,17,147580,1
EN,1,50514,0
MI,2,94158,2
EX,19,161009,1
EX,15,91911,1
EX,15,248071,1
SE,9,150204,3
SE,9,181517,3
EN,1,64573,0
MI,4,89332,2
SE,9,118239,3
MI,4,103715,2
EX,14,151680,1
SE,8,142589,3
EN,1,63062,0
EN,1,80691,0
SE,7,171580,3
SE,5,58331,3
MI,4,85620,2
EX,14,220871,1
MI,4,93007,2
EX,14,191783,1
MI,3,83683,2
SE,8,107869,3
MI,2,73528,2
MI,3,47642,2
SE,6,179937,3
MI,2,157066,2
EN,1,57299,0
EX,10,176844,1
EN,1,64892,0
EN,1,63024,0
MI,2,136695,2
EN,1,69744,0
EX,18,135137,1
EX,13,143037,1
SE,9,113068,3
SE,9,113917,3
EX,13,80311,1
SE,6,160261,3
SE,8,152241,3
MI,2,74172,2
MI,3,105632,2
MI,4,89515,2
MI,4,102319,2
MI,2,110536,2
SE,5,176372,3
EN,0,58111,0
SE,8,39802,3
SE,9,147385,3
EN,0,118122,0
EN,0,75225,0
EN,0,48325,0
EN,0,64973,0
MI,4,78182,2
EX,10,357875,1
SE,8,61953,3
EX,10,236982,1
MI,3,90203,2
SE,7,109984,3
EX,14,146371,1
EX,10,268088,1
MI,4,97647,2
EX,17,221711,1
EN,0,78716,0
SE,5,169717,3
MI,4,92798,2
MI,2,37177,2
MI,4,85505,2
MI,3,113625,2
SE,6,121846,3
MI,3,115136,2
EX,16,265646,1
EN,0,92726,0
EN,0,50607,0
EX,15,219875,1
EX,11,93342,1
MI,3,99132,2
SE,5,148775,3
EN,0,63090,0
EN,1,39782,0
EX,14,240915,1
MI,4,69061,2
SE,5,146403,3
EN,1,56884,0
SE,9,172277,3
EX,17,254054,1
SE,5,97442,3
EX,19,84037,1
MI,4,104614,2
SE,7,103566,3
EN,0,69417,0
EN,0,27748,0
EX,14,245370,1
MI,4,86794,2
EN,1,58554,0
SE,6,152077,3
EX,10,152349,1
EX,17,155935,1
EX,14,299354,1
SE,5,112130,3
EX,16,299005,1
EN,1,57697,0
EX,18,140199,1
EX,11,107028,1
EN,1,48978,0
MI,3,101366,2
MI,4,79125,2
SE,6,51110,3
MI,3,96374,2
EN,0,92286,0
SE,7,102456,3
EX,17,138420,1
EX,12,203654,1
SE,8,121706,3
SE,9,112939,3
EX,19,223145,1
EX,11,198959,1
EX,14,249841,1
EN,0,81300,0
EX,16,89201,1
MI,4,123827,2
EX,16,321014,1
EX,11,195690,1
MI,2,88109,2
SE,8,93310,3
EX,12,180162,1
EX,14,324764,1
EN,1,57105,0
EX,11,131121,1
SE,6,87993,3
EN,1,77654,0
EN,1,47769,0
SE,8,112750,3
EN,0,63413,0
SE,5,96518,3
MI,4,136768,2
SE,8,143660,3
SE,9,122612,3
EX,15,224629,1
SE,7,110517,3
EN,0,78533,0
EX,15,282152,1
EX,18,240352,1
EN,0,87353,0
EX,10,201368,1
MI,3,102371,2
MI,3,160729,2
SE,8,127341,3
SE,6,132125,3
MI,2,106892,2
MI,3,101740,2
MI,2,48965,2
EN,0,53173,0
EX,17,201645,1
MI,3,47718,2
EX,16,358613,1
EN,0,96280,0
SE,7,87032,3
SE,9,112059,3
SE,7,115102,3
EX,11,271779,1
MI,3,66364,2
MI,2,131466,2
EN,1,42235,0
EN,1,55844,0
EN,1,75499,0
EN,1,84962,0
MI,3,144336,2
SE,8,52300,3
EX,13,157426,1
EX,12,174692,1
MI,2,142293,2
SE,9,109818,3
EN,0,69642,0
MI,2,70652,2
EX,12,242235,1
EX,19,211982,1
EN,1,88077,0
MI,3,107261,2
EX,10,284132,1
SE,5,105482,3
EX,15,161728,1
SE,9,131352,3
SE,6,161727,3
SE,7,151527,3
SE,6,112476,3
MI,3,72913,2
EN,1,68734,0
EX,11,179564,1
EN,1,71265,0
SE,8,143064,3
EX,14,196042,1
SE,7,101946,3
MI,4,89020,2
SE,9,134011,3
MI,2,97657,2
EX,14,153990,1
SE,6,124696,3
MI,2,94884,2
EN,0,101192,0
SE,6,106624,3
EX,12,187401,1
EX,15,165694,1
SE,6,122206,3
MI,2,91226,2
MI,3,110449,2
EX,16,275705,1
EX,11,161670,1
MI,3,95328,2
EN,1,68548,0
EX,12,378502,1
SE,7,76682,3
MI,2,108478,2
MI,3,114526,2
EN,0,75609,0
SE,6,214389,3
SE,7,104396,3
EN,0,53469,0
EX,14,327929,1
MI,2,87984,2
SE,8,127823,3
MI,4,93295,2
MI,2,25560,2
MI,3,110777,2
EX,17,253223,1
EX,10,234867,1
EN,0,49385,0
SE,8,59557,3
SE,6,95864,3
EX,18,217693,1
MI,2,108994,2
MI,4,75633,2
EN,0,62810,0
EX,15,151628,1
SE,9,125355,3
SE,7,136102,3
EN,0,56934,0
MI,4,67190,2
SE,9,125164,3
EN,1,85407,0
SE,7,112057,3
MI,3,95078,2
EX,18,198651,1
EX,12,220998,1
EX,12,74126,1
MI,4,75172,2
EN,1,60975,0
MI,2,89175,2
SE,5,149285,3
EX,13,192204,1
MI,4,94197,2
EN,1,90408,0
MI,3,72940,2
SE,9,140696,3
EX,12,210902,1
EN,0,78559,0
MI,4,32923,2
SE,9,112363,3
EX,11,188028,1
EX,16,165794,1
MI,3,109778,2
EX,17,162918,1
EX,12,219603,1
EX,17,304991,1
SE,5,99431,3
MI,3,92131,2
MI,3,111236,2
EX,10,263705,1
MI,2,37401,2
MI,3,122481,2
EN,0,29050,0
SE,9,142280,3
EN,0,75989,0
SE,6,103477,3
MI,3,111121,2
EX,19,357359,1
MI,2,107663,2
MI,2,83352,2
EN,0,55431,0
SE,9,149644,3
MI,2,94453,2
MI,2,40773,2
MI,2,94832,2
EN,1,66884,0
SE,7,222209,3
EX,15,181591,1
EN,1,70146,0
MI,2,77528,2
EX,15,133696,1
EX,19,266317,1
EX,19,171903,1
EX,17,134807,1
SE,6,123091,3
SE,9,55885,3
EX,11,190416,1
SE,6,155137,3
EX,14,233502,1
SE,7,106241,3
EX,17,170331,1
SE,9,190752,3
EN,0,57858,0
EN,0,60290,0
MI,2,78662,2
EN,1,68057,0
SE,5,152822,3
SE,7,168351,3
EX,15,280392,1
EX,18,165716,1
EX,11,187794,1
EX,10,245697,1
MI,3,79411,2
SE,7,117847,3
SE,9,112962,3
SE,7,166397,3
SE,5,135988,3
MI,2,30929,2
SE,5,112165,3
MI,4,100758,2
EN,0,83754,0
MI,4,109895,2
EX,11,160760,1
SE,5,167415,3
EN,1,58948,0
MI,3,73406,2
EX,19,153534,1
MI,4,81787,2
MI,4,121967,2
EX,14,181438,1
EN,1,60296,0
EN,1,64191,0
EN,0,96896,0
MI,2,78105,2
EN,0,71686,0
SE,9,148827,3
SE,8,92179,3
MI,3,75460,2
EX,17,146580,1
EN,1,68722,0
EN,1,60841,0
EN,0,49130,0
SE,9,162683,3
SE,8,151676,3
MI,4,140928,2
SE,8,140382,3
EX,18,179691,1
SE,8,132280,3
MI,4,90861,2
EX,11,102239,1
EN,1,71795,0
EN,1,55230,0
EN,1,56030,0
EX,17,99246,1
EX,11,130136,1
EN,1,51311,0
EN,1,59010,0
SE,5,139257,3
EN,0,50920,0
EN,0,116377,0
EN,0,101911,0
EN,1,92714,0
EN,0,83757,0
MI,2,88018,2
EN,1,51864,0
MI,4,96976,2
EX,13,120263,1
SE,9,178114,3
MI,3,94379,2
EX,17,268149,1
MI,3,90472,2
SE,7,86547,3
SE,6,150700,3
EX,14,216740,1
EN,1,59227,0
SE,5,163281,3
EN,1,66305,0
SE,6,126408,3
SE,7,144024,3
SE,6,108805,3
MI,3,79093,2
EX,15,295893,1
MI,2,83000,2
EN,0,80124,0
EN,1,69336,0
SE,5,42380,3
EX,18,149450,1
EX,16,285891,1
EN,1,75240,0
SE,7,124786,3
MI,3,109043,2
SE,5,89035,3
EX,19,190529,1
SE,9,169009,3
EN,1,48714,0
SE,5,97541,3
SE,5,144493,3
EX,11,185421,1
EX,18,287164,1
SE,8,120968,3
EX,14,135171,1
EN,1,129545,0
MI,2,97794,2
EX,18,145395,1
EX,11,204217,1
EN,0,98702,0
MI,3,99895,2
SE,8,135571,3
SE,6,119266,3
SE,8,110844,3
SE,9,145736,3
EX,11,232735,1
EN,1,56990,0
EX,15,169605,1
SE,8,145138,3
SE,5,139121,3
EX,13,178631,1
MI,4,90723,2
MI,4,49069,2
EN,0,68202,0
MI,3,116676,2
SE,7,153139,3
EX,13,131402,1
EN,1,54607,0
MI,4,71774,2
SE,6,110765,3
EX,13,265991,1
MI,4,83839,2
EX,13,236251,1
EX,16,241129,1
SE,7,159083,3
SE,8,103506,3
EX,10,232495,1
EN,1,112744,0
SE,5,129622,3
SE,5,100903,3
EX,11,238019,1
EN,0,41302,0
EX,17,128647,1
EN,0,52696,0
EX,19,229071,1
EX,16,215282,1
EX,10,199110,1
EN,1,75004,0
SE,6,149575,3
EX,15,138904,1
SE,7,133658,3
EX,10,148968,1
MI,3,87661,2
EX,12,235575,1
EX,14,195175,1
SE,8,143318,3
EN,1,102959,0
MI,4,90379,2
EN,0,71203,0
EX,13,177188,1
MI,2,95416,2
EN,1,89044,0
EN,0,78263,0
EX,11,231654,1
SE,9,149046,3
MI,4,84232,2
SE,7,94348,3
SE,6,128839,3
SE,5,166829,3
EN,1,67959,0
MI,4,80303,2
MI,2,104350,2
SE,8,146664,3
SE,9,119423,3
EN,0,31988,0
EN,1,94563,0
EN,0,85269,0
EN,0,87092,0
EN,1,75721,0
SE,7,158003,3
EX,18,189198,1
EN,1,57287,0
MI,2,116891,2
MI,4,86678,2
EX,16,237261,1
EX,17,340350,1
SE,8,143376,3
SE,9,212213,3
SE,5,147392,3
SE,6,93630,3
EN,0,99867,0
MI,3,167900,2
MI,4,113585,2
MI,2,88040,2
EX,19,234891,1
EN,1,55689,0
EX,15,192002,1
EX,12,88478,1
EX,13,233768,1
EX,18,394510,1
EN,0,96275,0
SE,5,67084,3
MI,3,87326,2
MI,3,88829,2
MI,3,110532,2
EN,0,60357,0
EX,18,315064,1
EN,0,70097,0
SE,6,117235,3
EN,0,65851,0
MI,2,84191,2
MI,2,134590,2
SE,6,139686,3
SE,5,115226,3
EX,12,262115,1
SE,6,111532,3
EX,11,267795,1
EN,0,63052,0
EN,1,54424,0
SE,6,67908,3
SE,6,115395,3
SE,9,122516,3
SE,5,118846,3
MI,2,98835,2
EX,11,295640,1
SE,9,136359,3
EX,13,187425,1
MI,2,91932,2
EN,0,71409,0
EN,0,48739,0
EN,1,61632,0
MI,4,98216,2
SE,6,104633,3
MI,2,41990,2
EX,12,238728,1
EX,14,329444,1
EN,1,70081,0
EX,15,288084,1
MI,2,65282,2
SE,6,126052,3
EX,12,247685,1
MI,3,80022,2
EN,1,96062,0
SE,9,174460,3
EX,12,183335,1
EX,18,223437,1
SE,6,177360,3
EX,10,206532,1
MI,4,112216,2
EN,0,55817,0
EX,11,324267,1
MI,4,76065,2
SE,8,146849,3
EN,0,81041,0
EN,0,106945,0
EX,18,329543,1
SE,6,92316,3
EX,19,209495,1
EX,17,201545,1
SE,6,122321,3
EN,0,120647,0
EN,0,56584,0
SE,8,143314,3
SE,6,130879,3
MI,4,79223,2
SE,5,145545,3
MI,3,100393,2
EX,16,197280,1
MI,3,88090,2
MI,3,69911,2
EX,18,218971,1
EN,0,79860,0
SE,9,118343,3
SE,6,142832,3
SE,9,103304,3
SE,6,51555,3
MI,4,33564,2
MI,3,46733,2
SE,8,163489,3
SE,9,127499,3
SE,8,169543,3
EX,14,252321,1
MI,2,83888,2
SE,5,117983,3
EX,19,153305,1
SE,9,112643,3
EN,1,64605,0
MI,3,62679,2
EX,11,161602,1
SE,6,124703,3
EX,13,200853,1
MI,2,34021,2
MI,2,90355,2
EN,1,63360,0
EX,10,185352,1
EN,1,85462,0
SE,9,119183,3
SE,6,116244,3
EX,19,287291,1
EX,17,160191,1
EX,15,207916,1
EX,15,215737,1
EN,0,89008,0
SE,9,122155,3
EN,1,40715,0
SE,9,188499,3
EX,16,181167,1
SE,7,137580,3
EN,0,81092,0
EX,16,167011,1
MI,2,115690,2
MI,3,85081,2
EX,13,204925,1
EN,1,71330,0
MI,2,147961,2
MI,2,81537,2
EX,14,169303,1
EN,1,79345,0
EX,12,141710,1
EX,16,176540,1
EN,0,75872,0
MI,3,39100,2
MI,3,60610,2
EN,0,64997,0
MI,4,79831,2
EN,1,75434,0
SE,8,135956,3
MI,3,91194,2
EX,10,182045,1
EX,10,143858,1
SE,7,135781,3
MI,3,151948,2
SE,6,97414,3
MI,4,44257,2
SE,9,183099,3
EN,0,66978,0
EN,1,58844,0
EN,1,86679,0
MI,4,102607,2
MI,3,117860,2
EN,1,53776,0
EN,1,22245,0
EN,0,86753,0
EN,0,59445,0
SE,7,181623,3
EN,1,23848,0
SE,5,67555,3
EX,19,156672,1
EX,14,99310,1
SE,5,106468,3
SE,8,133549,3
EN,1,101850,0
EX,18,135555,1
EX,13,194650,1
SE,8,48184,3
MI,2,102143,2
SE,6,130584,3
SE,5,197290,3
EN,0,57552,0
SE,7,138325,3
EN,1,62787,0
SE,8,96898,3
MI,4,101690,2
MI,2,104342,2
EX,18,182831,1
EN,1,65362,0
SE,8,116249,3
EX,19,181065,1
SE,8,110326,3
SE,6,113275,3
SE,7,86720,3
SE,8,88527,3
EN,0,75281,0
EN,0,63784,0
SE,7,140500,3
EN,1,30726,0
EX,15,242789,1
EX,17,126827,1
MI,2,77753,2
EX,13,204502,1
MI,4,76869,2
SE,5,128192,3
EX,19,234782,1
EX,14,243016,1
EX,19,232932,1
EX,11,157713,1
MI,4,78731,2
SE,5,118802,3
EN,1,86119,0
EX,19,148519,1
EN,1,48058,0
EN,0,68183,0
EX,15,237151,1
MI,4,95252,2
SE,5,142166,3
SE,9,107965,3
EX,12,239943,1
EX,10,287023,1
MI,4,108794,2
EN,1,91776,0
EN,1,61890,0
EX,11,345294,1
MI,4,78569,2
EN,0,66673,0
SE,8,183500,3
EX,10,165234,1
MI,2,119549,2
EX,19,325936,1
SE,7,157221,3
SE,6,98221,3
EX,11,155502,1
EX,11,276679,1
EX,19,187955,1
MI,4,135585,2
SE,5,138945,3
MI,3,89723,2
EN,0,74250,0
EX,11,209546,1
EX,13,137463,1
EN,0,83657,0
MI,3,120560,2
SE,7,87119,3
MI,4,71418,2
EX,19,46727,1
EX,16,164321,1
EN,1,80460,0
SE,8,99510,3
MI,2,145409,2
EX,13,289465,1
EN,1,85216,0
MI,3,88921,2
EN,0,65144,0
MI,3,103403,2
SE,8,121368,3
SE,7,168109,3
MI,2,40616,2
EX,16,176886,1
MI,2,107548,2
EX,15,313203,1
EX,12,147571,1
EX,19,239432,1
MI,2,119559,2
EN,0,72051,0
EN,1,80766,0
EN,0,75201,0
EX,12,367330,1
EN,1,99824,0
EX,16,183643,1
MI,2,86875,2
EN,0,92050,0
EX,10,188547,1
MI,4,93400,2
SE,5,121492,3
EX,13,214716,1
MI,3,96552,2
MI,4,82126,2
MI,3,101793,2
MI,3,119593,2
EX,18,83380,1
MI,3,104077,2
SE,5,107155,3
EN,0,95613,0
MI,2,79915,2
SE,9,152836,3
EX,10,201144,1
MI,4,74068,2
MI,2,94861,2
MI,4,89534,2
MI,2,121009,2
MI,3,98503,2
MI,2,92133,2
MI,4,108765,2
EN,0,93440,0
MI,4,88745,2
SE,7,105976,3
MI,3,59221,2
EN,0,61996,0
MI,3,90426,2
EN,0,60924,0
EX,16,243192,1
EX,10,166087,1
EN,0,85173,0
EX,10,309247,1
MI,3,121556,2
EN,1,89998,0
MI,3,63415,2
MI,2,132964,2
EN,0,65099,0
EX,16,170410,1
EN,1,25440,0
SE,8,173489,3
EX,13,216939,1
SE,9,117695,3
MI,4,78936,2
EN,0,113661,0
EX,17,226030,1
EX,17,162220,1
EX,19,165689,1
EX,16,319536,1
SE,7,97294,3
EN,1,94506,0
SE,8,122519,3
MI,2,61916,2
MI,4,78823,2
EN,0,111124,0
EN,0,91289,0
SE,6,195659,3
EX,17,199412,1
EX,19,202421,1
MI,3,133682,2
EX,11,205143,1
EN,1,27765,0
EX,11,170181,1
MI,2,103167,2
EX,16,194546,1
EX,13,130072,1
EN,1,39197,0
EX,14,204421,1
EN,0,112925,0
EX,18,265788,1
EN,1,98150,0
SE,9,126741,3
EN,1,75006,0
MI,4,84346,2
SE,6,48241,3
EX,18,162681,1
SE,7,125204,3
SE,8,140001,3
SE,8,162125,3
SE,7,128132,3
SE,8,225554,3
SE,7,130639,3
EN,0,66422,0
EN,0,54625,0
MI,3,135145,2
EN,0,61177,0
EX,16,74961,1
MI,2,47280,2
EX,13,141577,1
EN,0,130504,0
MI,2,107421,2
MI,2,93042,2
EX,11,168047,1
EN,1,27281,0
MI,4,99145,2
SE,8,121002,3
EX,12,259814,1
EX,15,209072,1
SE,5,50802,3
MI,2,112292,2
EX,15,255076,1
MI,2,75393,2
EN,1,96519,0
SE,7,135767,3
EX,17,169082,1
MI,3,91630,2
EX,13,172863,1
MI,3,103897,2
MI,2,93834,2
EN,0,53634,0
SE,8,127594,3
EX,16,292915,1
EX,18,174020,1
MI,4,88526,2
EN,1,74475,0
EX,18,96427,1
EX,19,225810,1
EX,10,168512,1
EX,14,168159,1
EN,1,59148,0
EN,0,65802,0
MI,4,110206,2
SE,9,149976,3
EX,18,179731,1
EX,10,148216,1
MI,4,69697,2
SE,6,193479,3
EN,1,27327,0
SE,9,175817,3
MI,2,79605,2
SE,6,136610,3
EN,1,54165,0
EN,1,82548,0
EX,17,149033,1
MI,2,26672,2
MI,3,103610,2
EN,1,59901,0
MI,4,84403,2
EX,10,235236,1
SE,9,140841,3
EN,1,64188,0
SE,6,140677,3
EX,15,275555,1
SE,8,174133,3
EN,0,49918,0
EX,16,211602,1
EX,15,192792,1
MI,4,70846,2
EN,1,93783,0
MI,3,41072,2
MI,3,102805,2
MI,4,113537,2
EN,1,73590,0
EN,0,96582,0
EN,0,62705,0
EN,0,77955,0
EX,15,129874,1
MI,4,106907,2
MI,4,110152,2
MI,4,49922,2
EN,0,84890,0
MI,4,73564,2
SE,5,196201,3
SE,9,164425,3
SE,6,158518,3
MI,4,137246,2
EX,15,222330,1
MI,2,73721,2
MI,3,125284,2
EX,17,266424,1
EX,14,158788,1
MI,3,99628,2
EN,1,52727,0
MI,4,38473,2
EN,1,64133,0
EN,1,47110,0
EN,1,71783,0
EN,0,83829,0
MI,4,91511,2
EX,14,198095,1
SE,7,119407,3
MI,4,87493,2
SE,7,121335,3
EX,13,289174,1
SE,5,154280,3
EN,0,62297,0
MI,2,114311,2
SE,7,163458,3
MI,4,107211,2
MI,2,136382,2
EX,11,249477,1
EX,11,177617,1
EN,1,66870,0
MI,3,79882,2
MI,4,114997,2
EN,1,67556,0
SE,9,50726,3
EN,1,45956,0
MI,2,29934,2
