company_size,salary_usd,benefits_score,company_size_encoded
M,219728,6.6,1
L,230237,8.5,0
S,128890,5.5,2
L,96349,6.8,0
S,63065,9.3,2
S,111794,5.1,2
L,113897,7.4,0
L,168639,5.5,0
L,92624,9.5,0
M,215627,7.8,1
L,129706,5.2,0
S,76559,8.3,2
L,185834,8.9,0
M,89801,8.7,1
L,252601,5.1,0
S,20520,7.5,2
S,192789,5.9,2
S,107184,9.2,2
M,141909,7.8,1
M,118238,8.2,1
L,155210,9.7,0
S,96699,9.7,2
L,161477,9.5,0
L,316709,7.6,0
S,62089,9.7,2
S,77985,9.4,2
S,55315,9.5,2
M,246647,6.6,1
S,29050,5.2,2
L,120599,6.4,0
L,277727,9.0,0
S,158734,6.2,2
L,139438,9.9,0
M,131432,5.3,1
L,140290,5.7,0
L,90858,7.1,0
L,126597,7.8,0
M,53274,6.0,1
S,155357,5.2,2
M,116292,7.9,1
L,140363,9.8,0
L,162306,5.6,0
L,134224,6.6,0
S,77500,10.0,2
L,154083,7.7,0
M,79445,7.2,1
M,157466,5.2,1
L,38972,7.1,0
S,66090,5.3,2
L,47943,6.2,0
M,217318,7.8,1
S,84705,6.6,2
M,36076,7.5,1
L,160216,6.0,0
S,60826,6.3,2
M,237320,7.7,1
M,60243,8.8,1
M,74091,7.2,1
L,68535,5.5,0
S,99401,9.4,2
L,67632,8.9,0
M,133163,7.9,1
S,125752,6.0,2
M,70927,9.3,1
L,80810,5.4,0
S,59614,7.3,2
S,151907,6.1,2
M,76317,9.1,1
M,160534,8.3,1
L,40687,7.3,0
S,129265,6.9,2
M,94396,9.5,1
L,158237,6.0,0
L,239068,6.8,0
M,81401,6.3,1
M,144229,9.5,1
S,78936,6.9,2
L,101054,8.8,0
S,91807,8.3,2
S,49858,9.2,2
L,80596,6.8,0
M,76026,8.0,1
L,84841,5.7,0
M,158900,6.0,1
S,153858,5.1,2
M,115314,7.9,1
S,181068,8.5,2
L,119021,7.3,0
M,219746,7.0,1
L,115774,5.3,0
L,130984,5.3,0
S,191223,6.8,2
M,155502,7.6,1
L,86140,7.3,0
L,96028,6.6,0
S,134920,6.7,2
M,107694,5.1,1
L,114301,7.5,0
L,92728,9.3,0
M,76826,7.4,1
L,48870,5.6,0
L,89527,5.8,0
L,81103,7.0,0
L,283428,5.1,0
S,104906,8.0,2
L,231496,5.5,0
L,147402,7.0,0
L,69331,8.8,0
S,215842,6.7,2
S,79833,5.7,2
L,304859,6.0,0
S,112217,10.0,2
M,45738,9.5,1
S,195309,5.3,2
L,141439,6.3,0
L,125836,10.0,0
S,58213,5.5,2
M,82191,9.5,1
S,207975,9.9,2
M,115664,7.8,1
M,109337,8.1,1
M,115386,6.7,1
L,64431,9.0,0
S,108088,8.0,2
L,228314,6.5,0
L,153260,9.7,0
S,63667,7.9,2
S,31185,9.2,2
M,132167,6.2,1
L,223349,5.9,0
M,26957,9.5,1
S,93564,9.7,2
S,113846,7.8,2
M,147580,5.9,1
M,50514,9.0,1
M,94158,5.5,1
M,161009,7.1,1
L,91911,5.9,0
M,248071,7.6,1
M,150204,6.3,1
L,181517,8.9,0
L,64573,9.2,0
S,89332,6.0,2
S,118239,8.1,2
S,103715,9.3,2
S,151680,6.9,2
L,142589,6.0,0
L,63062,6.7,0
L,80691,8.1,0
L,171580,6.7,0
M,58331,6.1,1
L,85620,5.8,0
M,220871,5.2,1
M,93007,6.4,1
S,191783,5.6,2
S,83683,5.3,2
S,107869,7.3,2
S,73528,8.0,2
L,47642,8.0,0
L,179937,8.1,0
L,157066,9.0,0
M,57299,7.8,1
L,176844,5.4,0
M,64892,5.7,1
L,63024,9.2,0
S,136695,5.9,2
L,69744,8.4,0
M,135137,5.4,1
S,143037,9.5,2
M,113068,6.6,1
S,113917,7.3,2
M,80311,5.0,1
L,160261,9.9,0
S,152241,5.9,2
M,74172,7.5,1
L,105632,9.4,0
L,89515,7.4,0
M,102319,6.2,1
M,110536,5.4,1
S,176372,8.0,2
S,58111,5.6,2
M,39802,8.3,1
L,147385,8.6,0
L,118122,9.3,0
L,75225,7.5,0
M,48325,6.2,1
L,64973,6.4,0
M,78182,7.9,1
L,357875,8.0,0
L,61953,6.3,0
L,236982,5.1,0
S,90203,7.5,2
S,109984,8.0,2
S,146371,5.4,2
M,268088,9.5,1
S,97647,6.2,2
S,221711,8.9,2
L,78716,8.2,0
S,169717,9.5,2
L,92798,6.4,0
S,37177,6.1,2
S,85505,5.1,2
L,113625,5.8,0
L,121846,7.4,0
M,115136,6.3,1
L,265646,9.4,0
L,92726,9.8,0
S,50607,8.6,2
L,219875,8.4,0
M,93342,7.2,1
L,99132,9.7,0
L,148775,6.3,0
S,63090,5.4,2
L,39782,8.9,0
L,240915,7.3,0
S,69061,6.9,2
L,146403,8.4,0
M,56884,9.1,1
L,172277,9.7,0
L,254054,9.8,0
S,97442,5.5,2
S,84037,6.0,2
S,104614,7.9,2
S,103566,8.0,2
L,69417,9.4,0
S,27748,5.8,2
M,245370,8.4,1
S,86794,8.2,2
S,58554,9.3,2
L,152077,9.6,0
S,152349,5.5,2
S,155935,8.8,2
S,299354,6.8,2
M,112130,9.4,1
L,299005,9.5,0
M,57697,9.7,1
S,140199,6.7,2
M,107028,5.8,1
M,48978,7.3,1
M,101366,6.7,1
S,79125,7.8,2
S,51110,9.8,2
S,96374,8.8,2
L,92286,8.3,0
S,102456,6.9,2
M,138420,5.3,1
L,203654,8.1,0
L,121706,9.1,0
S,112939,10.0,2
L,223145,7.1,0
M,198959,7.1,1
M,249841,7.0,1
S,81300,9.0,2
L,89201,5.7,0
M,123827,8.3,1
M,321014,5.3,1
L,195690,6.2,0
M,88109,9.9,1
S,93310,5.5,2
S,180162,9.7,2
M,324764,8.2,1
M,57105,6.9,1
M,131121,7.3,1
S,87993,9.4,2
L,77654,7.7,0
S,47769,5.2,2
S,112750,5.5,2
S,63413,7.5,2
S,96518,8.4,2
M,136768,9.5,1
L,143660,6.7,0
S,122612,5.8,2
S,224629,9.6,2
L,110517,8.2,0
M,78533,5.7,1
S,282152,7.0,2
M,240352,6.8,1
M,87353,7.5,1
M,201368,6.4,1
M,102371,6.5,1
L,160729,7.8,0
L,127341,6.4,0
L,132125,7.0,0
L,106892,5.5,0
L,101740,8.8,0
M,48965,5.9,1
S,53173,8.3,2
S,201645,9.2,2
L,47718,6.2,0
L,358613,9.6,0
L,96280,6.2,0
S,87032,5.5,2
S,112059,7.3,2
L,115102,9.2,0
L,271779,9.0,0
S,66364,6.6,2
L,131466,7.9,0
S,42235,6.4,2
M,55844,7.9,1
L,75499,9.6,0
L,84962,6.2,0
M,144336,7.8,1
