job_description_length,benefits_score,salary_usd
1132,6.6,219728
2299,8.5,230237
1329,5.5,128890
1132,6.8,96349
2011,9.3,63065
1021,5.1,111794
2268,7.4,113897
1497,5.5,168639
1724,9.5,92624
902,7.8,215627
2247,5.2,129706
694,8.3,76559
1710,8.9,185834
1361,8.7,89801
572,5.1,252601
2455,7.5,20520
524,5.9,192789
2111,9.2,107184
1601,7.8,141909
2431,8.2,118238
595,9.7,155210
582,9.7,96699
1861,9.5,161477
1284,7.6,316709
2264,9.7,62089
655,9.4,77985
1107,9.5,55315
2347,6.6,246647
555,5.2,29050
699,6.4,120599
529,9.0,277727
1607,6.2,158734
1826,9.9,139438
1134,5.3,131432
2437,5.7,140290
1793,7.1,90858
2236,7.8,126597
1444,6.0,53274
830,5.2,155357
2404,7.9,116292
1852,9.8,140363
1066,5.6,162306
1743,6.6,134224
811,10.0,77500
1969,7.7,154083
511,7.2,79445
547,5.2,157466
2163,7.1,38972
1901,5.3,66090
2483,6.2,47943
1647,7.8,217318
879,6.6,84705
580,7.5,36076
941,6.0,160216
1731,6.3,60826
991,7.7,237320
1661,8.8,60243
1295,7.2,74091
1943,5.5,68535
1371,9.4,99401
2133,8.9,67632
2141,7.9,133163
2390,6.0,125752
1847,9.3,70927
1476,5.4,80810
1581,7.3,59614
1433,6.1,151907
1228,9.1,76317
1651,8.3,160534
804,7.3,40687
2410,6.9,129265
1033,9.5,94396
1676,6.0,158237
1321,6.8,239068
1930,6.3,81401
1213,9.5,144229
697,6.9,78936
2396,8.8,101054
1519,8.3,91807
1215,9.2,49858
1512,6.8,80596
1079,8.0,76026
2456,5.7,84841
2367,6.0,158900
2133,5.1,153858
1783,7.9,115314
1322,8.5,181068
1461,7.3,119021
1485,7.0,219746
1618,5.3,115774
1774,5.3,130984
1926,6.8,191223
2449,7.6,155502
1816,7.3,86140
1878,6.6,96028
1930,6.7,134920
2292,5.1,107694
1506,7.5,114301
1948,9.3,92728
804,7.4,76826
1108,5.6,48870
1299,5.8,89527
2055,7.0,81103
1275,5.1,283428
2101,8.0,104906
895,5.5,231496
593,7.0,147402
639,8.8,69331
2098,6.7,215842
1284,5.7,79833
2460,6.0,304859
1679,10.0,112217
1481,9.5,45738
1277,5.3,195309
1021,6.3,141439
1650,10.0,125836
1087,5.5,58213
1906,9.5,82191
1475,9.9,207975
1449,7.8,115664
901,8.1,109337
2387,6.7,115386
825,9.0,64431
1769,8.0,108088
1005,6.5,228314
1768,9.7,153260
1336,7.9,63667
1510,9.2,31185
1110,6.2,132167
1489,5.9,223349
2335,9.5,26957
515,9.7,93564
2447,7.8,113846
2416,5.9,147580
2384,9.0,50514
867,5.5,94158
1247,7.1,161009
2149,5.9,91911
616,7.6,248071
1478,6.3,150204
981,8.9,181517
1495,9.2,64573
2011,6.0,89332
576,8.1,118239
2224,9.3,103715
2439,6.9,151680
2431,6.0,142589
1558,6.7,63062
624,8.1,80691
1931,6.7,171580
2002,6.1,58331
848,5.8,85620
821,5.2,220871
1595,6.4,93007
2352,5.6,191783
818,5.3,83683
2148,7.3,107869
557,8.0,73528
2171,8.0,47642
774,8.1,179937
887,9.0,157066
794,7.8,57299
577,5.4,176844
1645,5.7,64892
1745,9.2,63024
1424,5.9,136695
1077,8.4,69744
1590,5.4,135137
775,9.5,143037
1805,6.6,113068
1720,7.3,113917
1052,5.0,80311
748,9.9,160261
1807,5.9,152241
1780,7.5,74172
2376,9.4,105632
2328,7.4,89515
1939,6.2,102319
1559,5.4,110536
729,8.0,176372
889,5.6,58111
2046,8.3,39802
1576,8.6,147385
2018,9.3,118122
2399,7.5,75225
1523,6.2,48325
1016,6.4,64973
1582,7.9,78182
1044,8.0,357875
1469,6.3,61953
597,5.1,236982
1774,7.5,90203
1535,8.0,109984
2313,5.4,146371
1385,9.5,268088
1305,6.2,97647
1652,8.9,221711
2401,8.2,78716
1003,9.5,169717
1685,6.4,92798
869,6.1,37177
1983,5.1,85505
2036,5.8,113625
2213,7.4,121846
1542,6.3,115136
1473,9.4,265646
2013,9.8,92726
1801,8.6,50607
1609,8.4,219875
1345,7.2,93342
2121,9.7,99132
1222,6.3,148775
1913,5.4,63090
2183,8.9,39782
1222,7.3,240915
1319,6.9,69061
1031,8.4,146403
532,9.1,56884
1725,9.7,172277
1518,9.8,254054
1164,5.5,97442
