remote_ratio,salary_usd
0,219728
50,230237
100,128890
50,96349
100,63065
50,111794
50,113897
100,168639
50,92624
50,215627
0,129706
100,76559
100,185834
100,89801
100,252601
0,20520
100,192789
50,107184
0,141909
100,118238
0,155210
0,96699
50,161477
50,316709
50,62089
0,77985
0,55315
50,246647
0,29050
50,120599
50,277727
50,158734
0,139438
50,131432
50,140290
50,90858
50,126597
100,53274
100,155357
50,116292
100,140363
0,162306
0,134224
0,77500
50,154083
50,79445
100,157466
0,38972
0,66090
50,47943
100,217318
50,84705
50,36076
100,160216
0,60826
0,237320
100,60243
50,74091
100,68535
50,99401
0,67632
0,133163
0,125752
0,70927
0,80810
100,59614
50,151907
0,76317
100,160534
50,40687
0,129265
100,94396
0,158237
50,239068
0,81401
0,144229
0,78936
0,101054
50,91807
100,49858
0,80596
50,76026
0,84841
50,158900
50,153858
0,115314
100,181068
0,119021
100,219746
50,115774
50,130984
0,191223
50,155502
50,86140
0,96028
0,134920
50,107694
0,114301
0,92728
50,76826
0,48870
50,89527
0,81103
0,283428
50,104906
50,231496
100,147402
100,69331
0,215842
0,79833
100,304859
0,112217
100,45738
50,195309
50,141439
100,125836
50,58213
0,82191
0,207975
0,115664
50,109337
100,115386
50,64431
100,108088
50,228314
0,153260
100,63667
100,31185
50,132167
100,223349
100,26957
0,93564
100,113846
0,147580
100,50514
100,94158
50,161009
100,91911
50,248071
50,150204
50,181517
100,64573
100,89332
50,118239
50,103715
100,151680
0,142589
50,63062
100,80691
100,171580
0,58331
100,85620
0,220871
50,93007
100,191783
50,83683
50,107869
0,73528
100,47642
50,179937
0,157066
0,57299
50,176844
50,64892
0,63024
50,136695
50,69744
0,135137
0,143037
100,113068
0,113917
50,80311
50,160261
50,152241
100,74172
100,105632
100,89515
50,102319
50,110536
0,176372
100,58111
100,39802
50,147385
0,118122
100,75225
100,48325
0,64973
50,78182
50,357875
50,61953
0,236982
50,90203
0,109984
100,146371
0,268088
50,97647
0,221711
100,78716
50,169717
50,92798
0,37177
50,85505
100,113625
50,121846
50,115136
0,265646
0,92726
100,50607
50,219875
100,93342
50,99132
0,148775
100,63090
0,39782
0,240915
100,69061
100,146403
100,56884
0,172277
100,254054
50,97442
50,84037
50,104614
100,103566
50,69417
100,27748
100,245370
50,86794
0,58554
50,152077
50,152349
50,155935
100,299354
100,112130
100,299005
100,57697
0,140199
50,107028
50,48978
100,101366
100,79125
50,51110
0,96374
100,92286
100,102456
50,138420
100,203654
50,121706
0,112939
50,223145
0,198959
100,249841
0,81300
0,89201
0,123827
100,321014
100,195690
100,88109
0,93310
100,180162
0,324764
0,57105
100,131121
50,87993
50,77654
50,47769
100,112750
0,63413
0,96518
50,136768
100,143660
50,122612
100,224629
50,110517
100,78533
50,282152
50,240352
50,87353
100,201368
50,102371
50,160729
0,127341
50,132125
100,106892
100,101740
0,48965
50,53173
100,201645
100,47718
0,358613
50,96280
50,87032
50,112059
100,115102
50,271779
50,66364
50,131466
100,42235
50,55844
0,75499
50,84962
0,144336
100,52300
100,157426
100,174692
50,142293
0,109818
0,69642
50,70652
100,242235
50,211982
100,88077
50,107261
0,284132
100,105482
50,161728
0,131352
100,161727
0,151527
50,112476
0,72913
100,68734
50,179564
0,71265
100,143064
0,196042
0,101946
50,89020
100,134011
100,97657
50,153990
100,124696
0,94884
50,101192
100,106624
100,187401
100,165694
50,122206
0,91226
100,110449
100,275705
0,161670
50,95328
0,68548
0,378502
0,76682
0,108478
0,114526
0,75609
100,214389
100,104396
50,53469
0,327929
100,87984
0,127823
0,93295
50,25560
0,110777
0,253223
0,234867
50,49385
100,59557
0,95864
0,217693
100,108994
100,75633
100,62810
100,151628
100,125355
100,136102
0,56934
50,67190
50,125164
50,85407
0,112057
0,95078
100,198651
50,220998
100,74126
100,75172
100,60975
0,89175
50,149285
0,192204
100,94197
100,90408
0,72940
0,140696
0,210902
100,78559
50,32923
0,112363
50,188028
100,165794
50,109778
0,162918
0,219603
100,304991
50,99431
0,92131
100,111236
0,263705
0,37401
50,122481
50,29050
100,142280
0,75989
100,103477
100,111121
100,357359
100,107663
0,83352
100,55431
100,149644
50,94453
0,40773
50,94832
100,66884
50,222209
50,181591
0,70146
100,77528
50,133696
0,266317
100,171903
0,134807
0,123091
50,55885
100,190416
100,155137
0,233502
100,106241
100,170331
100,190752
0,57858
50,60290
0,78662
0,68057
50,152822
100,168351
0,280392
50,165716
0,187794
0,245697
0,79411
100,117847
100,112962
100,166397
100,135988
100,30929
50,112165
100,100758
100,83754
100,109895
50,160760
100,167415
100,58948
0,73406
100,153534
50,81787
0,121967
50,181438
50,60296
50,64191
50,96896
50,78105
50,71686
0,148827
100,92179
50,75460
50,146580
50,68722
50,60841
50,49130
50,162683
50,151676
50,140928
100,140382
0,179691
100,132280
0,90861
50,102239
0,71795
0,55230
50,56030
100,99246
50,130136
100,51311
100,59010
50,139257
0,50920
100,116377
0,101911
50,92714
0,83757
50,88018
100,51864
50,96976
100,120263
0,178114
50,94379
0,268149
0,90472
0,86547
0,150700
100,216740
0,59227
0,163281
100,66305
100,126408
100,144024
0,108805
50,79093
50,295893
50,83000
0,80124
0,69336
0,42380
0,149450
50,285891
100,75240
0,124786
0,109043
50,89035
50,190529
100,169009
100,48714
0,97541
0,144493
0,185421
0,287164
0,120968
50,135171
100,129545
50,97794
100,145395
50,204217
0,98702
0,99895
100,135571
50,119266
50,110844
50,145736
0,232735
100,56990
0,169605
0,145138
50,139121
100,178631
0,90723
100,49069
50,68202
0,116676
100,153139
50,131402
50,54607
100,71774
0,110765
100,265991
50,83839
100,236251
100,241129
100,159083
0,103506
0,232495
50,112744
0,129622
0,100903
0,238019
100,41302
100,128647
50,52696
0,229071
50,215282
0,199110
50,75004
50,149575
50,138904
50,133658
0,148968
100,87661
0,235575
100,195175
100,143318
100,102959
100,90379
100,71203
100,177188
100,95416
50,89044
100,78263
0,231654
0,149046
100,84232
50,94348
50,128839
100,166829
100,67959
50,80303
50,104350
50,146664
50,119423
50,31988
50,94563
50,85269
50,87092
100,75721
0,158003
0,189198
100,57287
0,116891
50,86678
50,237261
0,340350
50,143376
0,212213
100,147392
50,93630
0,99867
100,167900
50,113585
0,88040
0,234891
50,55689
50,192002
100,88478
50,233768
0,394510
0,96275
100,67084
100,87326
50,88829
50,110532
0,60357
0,315064
100,70097
50,117235
100,65851
100,84191
0,134590
100,139686
0,115226
0,262115
50,111532
50,267795
100,63052
0,54424
100,67908
100,115395
100,122516
50,118846
0,98835
0,295640
50,136359
0,187425
50,91932
0,71409
50,48739
50,61632
0,98216
100,104633
100,41990
0,238728
100,329444
100,70081
0,288084
100,65282
50,126052
100,247685
0,80022
0,96062
100,174460
100,183335
100,223437
50,177360
100,206532
100,112216
100,55817
50,324267
50,76065
0,146849
50,81041
100,106945
100,329543
100,92316
100,209495
0,201545
0,122321
50,120647
100,56584
50,143314
0,130879
100,79223
100,145545
50,100393
100,197280
100,88090
100,69911
0,218971
50,79860
100,118343
100,142832
0,103304
50,51555
0,33564
50,46733
50,163489
100,127499
50,169543
100,252321
100,83888
50,117983
100,153305
50,112643
50,64605
50,62679
100,161602
0,124703
50,200853
50,34021
50,90355
100,63360
0,185352
50,85462
100,119183
50,116244
50,287291
50,160191
100,207916
50,215737
0,89008
100,122155
0,40715
0,188499
100,181167
50,137580
0,81092
0,167011
50,115690
100,85081
100,204925
100,71330
0,147961
100,81537
0,169303
100,79345
100,141710
0,176540
0,75872
100,39100
50,60610
50,64997
0,79831
100,75434
100,135956
0,91194
100,182045
50,143858
100,135781
100,151948
0,97414
50,44257
100,183099
50,66978
100,58844
50,86679
50,102607
0,117860
50,53776
100,22245
50,86753
50,59445
100,181623
0,23848
100,67555
0,156672
50,99310
0,106468
50,133549
50,101850
50,135555
0,194650
50,48184
100,102143
0,130584
50,197290
50,57552
0,138325
0,62787
50,96898
100,101690
50,104342
100,182831
0,65362
50,116249
0,181065
0,110326
0,113275
0,86720
100,88527
100,75281
100,63784
0,140500
100,30726
50,242789
0,126827
100,77753
100,204502
50,76869
0,128192
0,234782
0,243016
50,232932
100,157713
100,78731
50,118802
50,86119
50,148519
100,48058
0,68183
100,237151
50,95252
50,142166
100,107965
50,239943
100,287023
0,108794
0,91776
0,61890
100,345294
0,78569
100,66673
50,183500
100,165234
100,119549
100,325936
0,157221
0,98221
50,155502
0,276679
0,187955
100,135585
50,138945
50,89723
100,74250
100,209546
0,137463
0,83657
0,120560
100,87119
100,71418
50,46727
50,164321
0,80460
50,99510
100,145409
50,289465
0,85216
100,88921
100,65144
50,103403
50,121368
50,168109
0,40616
0,176886
0,107548
50,313203
0,147571
100,239432
0,119559
100,72051
100,80766
100,75201
100,367330
100,99824
50,183643
0,86875
100,92050
100,188547
0,93400
50,121492
100,214716
0,96552
50,82126
50,101793
100,119593
0,83380
0,104077
100,107155
50,95613
0,79915
100,152836
50,201144
100,74068
50,94861
100,89534
50,121009
100,98503
100,92133
0,108765
0,93440
100,88745
100,105976
0,59221
100,61996
50,90426
0,60924
0,243192
0,166087
0,85173
100,309247
0,121556
50,89998
100,63415
0,132964
50,65099
100,170410
0,25440
50,173489
100,216939
50,117695
100,78936
50,113661
50,226030
50,162220
0,165689
50,319536
50,97294
50,94506
50,122519
100,61916
50,78823
0,111124
0,91289
50,195659
50,199412
100,202421
100,133682
0,205143
0,27765
100,170181
100,103167
0,194546
100,130072
0,39197
50,204421
100,112925
0,265788
0,98150
50,126741
100,75006
0,84346
50,48241
50,162681
100,125204
50,140001
100,162125
100,128132
50,225554
0,130639
0,66422
0,54625
50,135145
100,61177
100,74961
100,47280
50,141577
100,130504
50,107421
50,93042
0,168047
100,27281
100,99145
100,121002
50,259814
100,209072
50,50802
100,112292
0,255076
50,75393
100,96519
50,135767
50,169082
50,91630
100,172863
100,103897
100,93834
0,53634
0,127594
100,292915
100,174020
100,88526
0,74475
100,96427
100,225810
0,168512
50,168159
0,59148
100,65802
100,110206
100,149976
50,179731
100,148216
0,69697
50,193479
100,27327
50,175817
50,79605
100,136610
100,54165
50,82548
100,149033
50,26672
50,103610
100,59901
0,84403
50,235236
100,140841
0,64188
100,140677
0,275555
0,174133
0,49918
50,211602
50,192792
100,70846
100,93783
0,41072
100,102805
0,113537
100,73590
100,96582
0,62705
50,77955
0,129874
100,106907
0,110152
50,49922
100,84890
50,73564
0,196201
0,164425
0,158518
100,137246
100,222330
100,73721
0,125284
50,266424
50,158788
100,99628
100,52727
100,38473
0,64133
50,47110
50,71783
50,83829
50,91511
50,198095
0,119407
100,87493
50,121335
0,289174
0,154280
100,62297
50,114311
50,163458
0,107211
50,136382
50,249477
0,177617
0,66870
0,79882
100,114997
100,67556
0,50726
0,45956
50,29934
0,89070
100,123195
100,83392
100,241040
100,226924
100,28173
0,96863
100,126853
100,143421
0,20785
100,67394
50,93436
100,95063
100,167478
100,139198
0,215699
100,138827
100,79327
50,70002
50,85342
100,116683
50,127338
100,80026
0,119475
0,254552
0,118245
0,117254
50,256695
0,188203
0,191049
50,75973
100,205143
0,92600
100,307696
0,289667
50,104108
50,85459
0,48088
50,103764
100,135128
0,78044
0,77226
100,149651
50,183833
0,104425
0,163323
0,136850
100,133658
0,168161
0,87945
50,150603
100,41667
0,270857
100,70021
50,180120
50,109592
100,248395
50,166428
50,64110
50,89254
50,89632
100,94147
50,95536
0,128104
100,224736
0,132221
0,107463
50,200093
100,168952
100,223789
0,121814
0,188710
50,73645
0,167924
50,104995
100,319365
0,120902
50,93958
50,204959
0,45750
100,191169
100,187320
0,45995
50,189388
100,77764
0,70260
50,59125
0,85915
50,161147
50,145874
50,41928
0,244108
50,74765
50,111797
100,129173
0,109849
0,86314
50,134718
100,146659
100,207301
100,86551
0,101086
100,243742
100,45910
100,165181
100,47299
100,69234
50,95021
0,27279
100,74665
0,105569
0,75073
100,185794
100,222006
0,95988
50,75420
0,56066
100,34199
50,123046
100,155715
100,135052
100,139723
50,126789
100,51041
100,66473
50,82798
100,208808
100,85454
100,312926
100,112468
100,184835
100,114775
100,87755
0,226988
100,109751
100,110714
0,243320
100,137660
50,101137
